== Menu principal ==
MAIN.PRIVATE_GAME	Jogo Privado
MAIN.PUBLIC_GAME	Jogo Público
MAIN.JOIN_FRIEND	Jogar com Amigos
MAIN.SINGLEPLAYER	Jogar Sozinho
MAIN.TUTORIAL	Tutorial
MAIN.SETTINGS	Configurações
MAIN.QUIT_GAME	Sair do Jogo
MAIN.CUSTOMIZE	Personalizar

== Popups ==
POPUP.PRIVATE_GAME.HEADER	Hospedar um Jogo
POPUP.PRIVATE_GAME.BODY	A pessoa com o melhor computador\ndeve hospedar.\n\nVocê é esta pessoa?
POPUP.PRIVATE_GAME.OPT1	Haha sim!  :)
POPUP.PRIVATE_GAME.OPT2	Não sou...  :'(
POPUP.PUBLIC_GAME.HEADER	Aviso
POPUP.PUBLIC_GAME.BODY	Jogando com jogadores aleatórios, você pode encontrar trapaceiros ou pessoas maldosas...
POPUP.PUBLIC_GAME.OPT1	Eu entendo
POPUP.PUBLIC_GAME.OPT2	Não, valeu :(
POPUP.QUIT_GAME.HEADER	Sair do Jogo
POPUP.QUIT_GAME.BODY	Fechar o jogo?
POPUP.QUIT_GAME.OPT1	Sim
POPUP.QUIT_GAME.OPT2	Não
POPUP.SELF_DESTRUCT.HEADER	Autodestruição
POPUP.SELF_DESTRUCT.BODY	Tem certeza?
POPUP.SELF_DESTRUCT.OPT1	Este é o fim
POPUP.SELF_DESTRUCT.OPT2	Não
POPUP.MAIN_MENU.OPT1	Sim
POPUP.MAIN_MENU.BODY	Voltar ao menu principal?
POPUP.MAIN_MENU.HEADER	Menu Principal
POPUP.MAIN_MENU.OPT2	Não
POPUP.LOAD_SAVE.HEADER	Carregar Save
POPUP.LOAD_SAVE.BODY	Carregar este save?
POPUP.LOAD_SAVE.OPT1	Sim!
POPUP.LOAD_SAVE.OPT2	Não
POPUP.DELETE_SAVE.HEADER	Apagar Save
POPUP.DELETE_SAVE.BODY	Você tem CERTEZA de que quer apagar este save PARA SEMPRE?
POPUP.DELETE_SAVE.OPT1	Sim! :')
POPUP.DELETE_SAVE.OPT2	Não...
POPUP.USE_BACKUP.HEADER	Restaurar do Backup
POPUP.USE_BACKUP.BODY	Substituir este save com o backup mais recente?\n\nDepois não tem volta!
POPUP.USE_BACKUP.OPT1	Sim!
POPUP.USE_BACKUP.OPT2	Não
POPUP.DELETE_PRESET.HEADER	Apagar Conjunto
POPUP.DELETE_PRESET.BODY	Você tem CERTEZA MESMO de que quer apagar este conjunto PARA SEMPRE?
POPUP.DELETE_PRESET.OPT1	Sim! :')
POPUP.DELETE_PRESET.OPT2	Não...
POPUP.COSMETICS_COLOR_ALL.HEADER	Mudar Cor
POPUP.COSMETICS_COLOR_ALL.BODY	Isso vai substituir as cores de todas as partes do corpo e cosméticos.\n\nDepois não tem volta!
POPUP.COSMETICS_COLOR_ALL.OPT1	Sim! :')
POPUP.COSMETICS_COLOR_ALL.OPT2	Não...
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	Restaurar Jogabilidade
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	Restaurar as configurações de jogabilidade para o padrão?
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	Sim!
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	Não
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	Restaurar Gráficos
POPUP.RESET_GRAPHICS_SETTINGS.BODY	Restaurar as configurações de gráficos para o padrão?
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	Sim!
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	Não
POPUP.RESET_AUDIO_SETTINGS.HEADER	Restaurar Áudio
POPUP.RESET_AUDIO_SETTINGS.BODY	Restaurar as configurações de áudio para o padrão?
POPUP.RESET_AUDIO_SETTINGS.OPT1	Sim!
POPUP.RESET_AUDIO_SETTINGS.OPT2	Não
POPUP.RESET_CONTROLS_SETTINGS.HEADER	Restaurar Controles
POPUP.RESET_CONTROLS_SETTINGS.BODY	Restaurar as configurações de controles para o padrão?
POPUP.RESET_CONTROLS_SETTINGS.OPT1	Sim!
POPUP.RESET_CONTROLS_SETTINGS.OPT2	Não
POPUP.START_GAME.HEADER	Iniciar Jogo
POPUP.START_GAME.BODY	Todo mundo pronto?\n\nDepois que o jogo começar,\nnovos jogadores não podem entrar.
POPUP.START_GAME.OPT1	Sim!
POPUP.START_GAME.OPT2	Espera!
POPUP.LEAVE_LOBBY.HEADER	Sair do Lobby
POPUP.LEAVE_LOBBY.BODY	Tem certeza?
POPUP.LEAVE_LOBBY.OPT1	Sim
POPUP.LEAVE_LOBBY.OPT2	Não
POPUP.NEW_GAME.HEADER	Novo Jogo
POPUP.NEW_GAME.BODY	Quer iniciar um jogo?
POPUP.NEW_GAME.OPT1	Sim!
POPUP.NEW_GAME.OPT2	Não
POPUP.COSMETICS_RESET_ALL.HEADER	Limpar
POPUP.COSMETICS_RESET_ALL.BODY	Tem certeza de que quer desequipar todas as partes do corpo e cosméticos?\n\nDepois não tem volta!
POPUP.COSMETICS_RESET_ALL.OPT1	Sim! :')
POPUP.COSMETICS_RESET_ALL.OPT2	Não...
POPUP.COSMETICS_RESET_BODY.HEADER	Limpar
POPUP.COSMETICS_RESET_BODY.BODY	Tem certeza de que quer desequipar todas as partes do corpo?\n\nDepois não tem volta!
POPUP.COSMETICS_RESET_BODY.OPT1	Sim! :')
POPUP.COSMETICS_RESET_BODY.OPT2	Não...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	Limpar
POPUP.COSMETICS_RESET_COSMETICS.BODY	Tem certeza de que quer desequipar todos os cosméticos?\n\nDepois não tem volta!
POPUP.COSMETICS_RESET_COSMETICS.OPT1	Sim! :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	Não...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	Aleatorizar
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	Tem certeza de que quer aleatorizar todas as partes do corpo e cosméticos?\n\nDepois não tem volta!
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	Sim! :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	Não...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	Aleatorizar
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	Tem certeza de que quer aleatorizar todas as partes do corpo?\n\nDepois não tem volta!
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	Sim! :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	Não...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	Aleatorizar
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	Tem certeza de que quer aleatorizar todos os cosméticos?\n\nDepois não tem volta!
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	Sim! :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	Não...
POPUP.COSMETICS_COLOR_BODY.HEADER	Mudar Cor
POPUP.COSMETICS_COLOR_BODY.BODY	Isso vai substituir as cores de todas as partes do corpo.\n\nDepois não tem volta!
POPUP.COSMETICS_COLOR_BODY.OPT1	Sim! :')
POPUP.COSMETICS_COLOR_BODY.OPT2	Não...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	Mudar Cor
POPUP.COSMETICS_COLOR_COSMETICS.BODY	Isso vai substituir as cores de todos os cosméticos.\n\nDepois não tem volta!
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	Sim! :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	Não...
POPUP.SAVE_LIMIT.HEADER	Limite de Saves Atingido
POPUP.SAVE_LIMIT.BODY	Você só pode ter {limit} saves por vez. Apague alguns saves para abrir espaço para novos.
POPUP.SAVE_LIMIT.BUTTON	OK
POPUP.KICKED.HEADER	Expulso
POPUP.KICKED.BODY	Você foi expulso pelo anfitrião.
POPUP.KICKED.BUTTON	Ah Droga
POPUP.DISCONNECTED.HEADER	Desconectado
POPUP.DISCONNECTED.STUCK_LOADING	Travou no carregamento
POPUP.DISCONNECTED.HOST_DISCONNECTED	O anfitrião desconectou
POPUP.DISCONNECTED.BUTTON	Ah Droga
POPUP.DISCONNECTED.CAUSE_PREFIX	Causa:
POPUP.DISCONNECTED.BANNED_LOBBY	Você está banido deste lobby.
POPUP.VERSION_MISMATCH.HEADER	Versão Errada do Jogo
POPUP.VERSION_MISMATCH.BODY	O lobby está usando a versão:\n{version}
POPUP.VERSION_MISMATCH.BUTTON	Ah Droga
POPUP.LOBBY_CLOSED.HEADER	Lobby Fechado
POPUP.LOBBY_CLOSED.BODY	O lobby foi fechado.
POPUP.LOBBY_CLOSED.BUTTON	Ah Droga

== Saves ==
SAVES.GO_BACK	< Voltar
SAVES.NEW_GAME	Novo Jogo
SAVES.SINGLEPLAYER_MODE	Modo Um Jogador
SAVES.MULTIPLAYER_MODE	Modo Multijogadores
SAVES.HEADER	Jogos Salvos
SAVES.PAGE_INFO.HEADER	Jogos Salvos
SAVES.PAGE_INFO.DESCRIPTION	Toda a diversão que você já teve e a chance de continuar exatamente de onde parou.
SAVES.SAVE_INFO.DELETE_SAVE	Apagar Save
SAVES.SAVE_INFO.LOAD_SAVE	Carregar Save
SAVES.SAVE_INFO.USE_BACKUP	Usar Backup
SAVES.SAVE_INFO.CURRENT_MOON	Lua Atual:
SAVES.SAVE_INFO.TOTAL_HAUL	Coleta Total:
SAVES.SAVE_INFO.SORRY	Desculpa!
SAVES.SAVE_INFO.PRESS_DELETE	Aperte "Apagar Save" para apagar \na pasta de saves inteira.
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   e   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	Save Corrompido
SAVES.SAVE_INFO.CLICK_TO_RENAME	(Clique para Renomear)
SAVES.SAVE_INFO.PLAYER_SOLO	Você fez tudo sozinho!
SAVES.SAVE_FILE.UH_OH	Ops!
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	Save Corrompido

== Regiões ==
REGIONS.HEADER	Regiões
REGIONS.BACK	Voltar
REGIONS.REGION.PICK_BEST_REGION	Escolher a Melhor Região
REGIONS.REGION.ASIA	Ásia
REGIONS.REGION.AU	Austrália
REGIONS.REGION.CAE	Canadá Leste
REGIONS.REGION.CN	China Continental
REGIONS.REGION.EU	Europa
REGIONS.REGION.HK	Hong Kong
REGIONS.REGION.IN	Índia
REGIONS.REGION.JP	Japão
REGIONS.REGION.ZA	África do Sul
REGIONS.REGION.SA	América do Sul
REGIONS.REGION.KR	Coreia do Sul
REGIONS.REGION.TR	Turquia
REGIONS.REGION.UAE	Emirados Árabes Unidos
